id,id_wasp,id_secret,frame_type,frame_number,sensor,value,timestamp,raw,parser_type
44622,environ1,408414966,128,252,CO2,0.752,"2016-08-10 06:00:14",noraw,0
44657,environ1,408414966,128,253,CO2,0.771,"2016-08-10 06:01:25",noraw,0
44685,environ1,408414966,128,254,CO2,0.810,"2016-08-10 06:02:37",noraw,0
44727,environ1,408414966,128,255,CO2,0.810,"2016-08-10 06:03:48",noraw,0
44790,environ1,408414966,128,1,CO2,0.800,"2016-08-10 06:06:10",noraw,0
44832,environ1,408414966,128,2,CO2,0.990,"2016-08-10 06:07:21",noraw,0
47416,environ1,408414966,128,67,CO2,0.771,"2016-08-10 07:24:26",noraw,0
47521,environ1,408414966,128,70,CO2,0.881,"2016-08-10 07:28:00",noraw,0
47633,environ1,408414966,128,73,CO2,0.923,"2016-08-10 07:31:33",noraw,0
47766,environ1,408414966,128,77,CO2,0.752,"2016-08-10 07:36:17",noraw,0
47801,environ1,408414966,128,78,CO2,0.745,"2016-08-10 07:37:29",noraw,0
47843,environ1,408414966,128,79,CO2,0.761,"2016-08-10 07:38:40",noraw,0
47885,environ1,408414966,128,80,CO2,1.000,"2016-08-10 07:39:51",noraw,0
47927,environ1,408414966,128,81,CO2,1.003,"2016-08-10 07:41:02",noraw,0
47969,environ1,408414966,128,82,CO2,1.003,"2016-08-10 07:42:13",noraw,0
47997,environ1,408414966,128,83,CO2,0.965,"2016-08-10 07:43:25",noraw,0
48032,environ1,408414966,128,84,CO2,0.858,"2016-08-10 07:44:36",noraw,0
48067,environ1,408414966,128,85,CO2,0.813,"2016-08-10 07:45:47",noraw,0
48102,environ1,408414966,128,86,CO2,0.781,"2016-08-10 07:46:58",noraw,0
48123,environ1,408414966,128,87,CO2,0.939,"2016-08-10 07:48:09",noraw,0
48158,environ1,408414966,128,88,CO2,0.787,"2016-08-10 07:49:20",noraw,0
48193,environ1,408414966,128,89,CO2,0.848,"2016-08-10 07:50:31",noraw,0
48228,environ1,408414966,128,90,CO2,0.835,"2016-08-10 07:51:43",noraw,0
48270,environ1,408414966,128,91,CO2,0.845,"2016-08-10 07:52:54",noraw,0
48305,environ1,408414966,128,92,CO2,0.752,"2016-08-10 07:54:05",noraw,0
48333,environ1,408414966,128,93,CO2,0.839,"2016-08-10 07:55:16",noraw,0
