id,id_wasp,id_secret,frame_type,frame_number,sensor,value,timestamp,raw,parser_type
44623,environ1,408414966,128,252,NO2,2.061,"2016-08-10 06:00:14",noraw,0
44658,environ1,408414966,128,253,NO2,1.994,"2016-08-10 06:01:25",noraw,0
44686,environ1,408414966,128,254,NO2,2.006,"2016-08-10 06:02:37",noraw,0
44728,environ1,408414966,128,255,NO2,1.990,"2016-08-10 06:03:48",noraw,0
44791,environ1,408414966,128,1,NO2,2.000,"2016-08-10 06:06:10",noraw,0
44833,environ1,408414966,128,2,NO2,1.994,"2016-08-10 06:07:21",noraw,0
47417,environ1,408414966,128,67,NO2,1.994,"2016-08-10 07:24:26",noraw,0
47522,environ1,408414966,128,70,NO2,2.061,"2016-08-10 07:28:00",noraw,0
47634,environ1,408414966,128,73,NO2,1.990,"2016-08-10 07:31:33",noraw,0
47767,environ1,408414966,128,77,NO2,1.994,"2016-08-10 07:36:17",noraw,0
47802,environ1,408414966,128,78,NO2,1.994,"2016-08-10 07:37:29",noraw,0
47844,environ1,408414966,128,79,NO2,1.990,"2016-08-10 07:38:40",noraw,0
47886,environ1,408414966,128,80,NO2,1.994,"2016-08-10 07:39:51",noraw,0
47928,environ1,408414966,128,81,NO2,1.987,"2016-08-10 07:41:02",noraw,0
47970,environ1,408414966,128,82,NO2,2.000,"2016-08-10 07:42:13",noraw,0
47998,environ1,408414966,128,83,NO2,1.997,"2016-08-10 07:43:25",noraw,0
48033,environ1,408414966,128,84,NO2,1.994,"2016-08-10 07:44:36",noraw,0
48068,environ1,408414966,128,85,NO2,1.997,"2016-08-10 07:45:47",noraw,0
48103,environ1,408414966,128,86,NO2,1.994,"2016-08-10 07:46:58",noraw,0
48124,environ1,408414966,128,87,NO2,1.994,"2016-08-10 07:48:09",noraw,0
48159,environ1,408414966,128,88,NO2,1.994,"2016-08-10 07:49:20",noraw,0
48194,environ1,408414966,128,89,NO2,1.994,"2016-08-10 07:50:31",noraw,0
48229,environ1,408414966,128,90,NO2,1.994,"2016-08-10 07:51:43",noraw,0
48271,environ1,408414966,128,91,NO2,1.997,"2016-08-10 07:52:54",noraw,0
48306,environ1,408414966,128,92,NO2,1.997,"2016-08-10 07:54:05",noraw,0
48334,environ1,408414966,128,93,NO2,1.994,"2016-08-10 07:55:16",noraw,0
48369,environ1,408414966,128,94,NO2,1.994,"2016-08-10 07:56:27",noraw,0
48432,environ1,408414966,128,96,NO2,1.994,"2016-08-10 07:58:49",noraw,0
48460,environ1,408414966,128,97,NO2,1.994,"2016-08-10 08:00:01",noraw,0
48495,environ1,408414966,128,98,NO2,1.994,"2016-08-10 08:01:12",noraw,0
48530,environ1,408414966,128,99,NO2,2.039,"2016-08-10 08:02:23",noraw,0
48572,environ1,408414966,128,100,NO2,1.997,"2016-08-10 08:03:34",noraw,0
48621,environ1,408414966,128,101,NO2,1.997,"2016-08-10 08:04:45",noraw,0
48663,environ1,408414966,128,102,NO2,1.994,"2016-08-10 08:05:56",noraw,0
48684,environ1,408414966,128,103,NO2,1.997,"2016-08-10 08:07:08",noraw,0
48719,environ1,408414966,128,104,NO2,2.003,"2016-08-10 08:08:19",noraw,0
48768,environ1,408414966,128,106,NO2,1.994,"2016-08-10 08:10:41",noraw,0
48803,environ1,408414966,128,107,NO2,1.997,"2016-08-10 08:11:52",noraw,0
49034,environ1,408414966,128,116,NO2,1.997,"2016-08-10 08:22:34",noraw,0
49076,environ1,408414966,128,117,NO2,1.997,"2016-08-10 08:23:46",noraw,0
49111,environ1,408414966,128,118,NO2,1.997,"2016-08-10 08:24:57",noraw,0
49524,environ1,408414966,128,0,NO2,1.997,"2016-08-10 09:53:11",noraw,0
49566,environ1,408414966,128,0,NO2,1.997,"2016-08-10 09:55:03",noraw,0
49657,environ1,408414966,128,2,NO2,2.000,"2016-08-10 09:57:26",noraw,0
49699,environ1,408414966,128,3,NO2,2.000,"2016-08-10 09:58:37",noraw,0
49755,environ1,408414966,128,4,NO2,2.000,"2016-08-10 09:59:48",noraw,0
49839,environ1,408414966,128,6,NO2,1.997,"2016-08-10 10:02:10",noraw,0
49888,environ1,408414966,128,7,NO2,1.997,"2016-08-10 10:03:21",noraw,0
49937,environ1,408414966,128,8,NO2,2.000,"2016-08-10 10:04:32",noraw,0
49979,environ1,408414966,128,9,NO2,2.000,"2016-08-10 10:05:44",noraw,0
50007,environ1,408414966,128,10,NO2,2.000,"2016-08-10 10:06:55",noraw,0
50084,environ1,408414966,128,12,NO2,2.042,"2016-08-10 10:09:17",noraw,0
50126,environ1,408414966,128,13,NO2,2.003,"2016-08-10 10:10:28",noraw,0
50238,environ1,408414966,128,16,NO2,1.997,"2016-08-10 10:14:02",noraw,0
50287,environ1,408414966,128,17,NO2,1.997,"2016-08-10 10:15:13",noraw,0
50364,environ1,408414966,128,19,NO2,1.997,"2016-08-10 10:17:35",noraw,0
50406,environ1,408414966,128,20,NO2,2.000,"2016-08-10 10:18:47",noraw,0
50497,environ1,408414966,128,23,NO2,2.000,"2016-08-10 10:22:20",noraw,0
50525,environ1,408414966,128,24,NO2,1.997,"2016-08-10 10:23:31",noraw,0
50602,environ1,408414966,128,26,NO2,2.000,"2016-08-10 10:25:53",noraw,0
50637,environ1,408414966,128,27,NO2,2.000,"2016-08-10 10:27:05",noraw,0
50714,environ1,408414966,128,29,NO2,2.000,"2016-08-10 10:29:27",noraw,0
50742,environ1,408414966,128,30,NO2,2.000,"2016-08-10 10:30:38",noraw,0
50840,environ1,408414966,128,33,NO2,2.000,"2016-08-10 10:34:11",noraw,0
50952,environ1,408414966,128,36,NO2,1.997,"2016-08-10 10:37:45",noraw,0
50994,environ1,408414966,128,37,NO2,2.003,"2016-08-10 10:38:56",noraw,0
51085,environ1,408414966,128,40,NO2,2.000,"2016-08-10 10:42:30",noraw,0
51169,environ1,408414966,128,43,NO2,2.003,"2016-08-10 10:46:03",noraw,0
51211,environ1,408414966,128,44,NO2,1.997,"2016-08-10 10:47:14",noraw,0
51274,environ1,408414966,128,46,NO2,1.997,"2016-08-10 10:49:37",noraw,0
51302,environ1,408414966,128,47,NO2,2.010,"2016-08-10 10:50:47",noraw,0
51491,environ1,408414966,128,53,NO2,2.006,"2016-08-10 10:57:54",noraw,0
51526,environ1,408414966,128,54,NO2,1.994,"2016-08-10 10:59:05",noraw,0
52804,environ1,408414966,128,98,NO2,1.997,"2016-08-10 11:51:16",noraw,0
52817,environ1,408414966,128,98,NO2,1.997,"2016-08-10 11:51:16",noraw,0
53077,environ1,408414966,128,105,NO2,1.997,"2016-08-10 11:59:35",noraw,0
53215,environ1,408414966,128,108,NO2,1.994,"2016-08-10 12:03:09",noraw,0
53221,environ1,408414966,128,108,NO2,1.994,"2016-08-10 12:03:09",noraw,0
53335,environ1,408414966,128,111,NO2,1.994,"2016-08-10 12:06:42",noraw,0
53370,environ1,408414966,128,112,NO2,2.006,"2016-08-10 12:07:53",noraw,0
53480,environ1,408414966,128,114,NO2,1.994,"2016-08-10 12:10:16",noraw,0
53488,environ1,408414966,128,114,NO2,1.994,"2016-08-10 12:10:16",noraw,0
53526,environ1,408414966,128,115,NO2,1.997,"2016-08-10 12:11:27",noraw,0
53647,environ1,408414966,128,118,NO2,1.994,"2016-08-10 12:15:01",noraw,0
53682,environ1,408414966,128,119,NO2,1.997,"2016-08-10 12:16:12",noraw,0
53788,environ1,408414966,128,121,NO2,1.997,"2016-08-10 12:18:35",noraw,0
53815,environ1,408414966,128,122,NO2,1.994,"2016-08-10 12:19:46",noraw,0
53937,environ1,408414966,128,125,NO2,1.997,"2016-08-10 12:23:20",noraw,0
53945,environ1,408414966,128,125,NO2,1.997,"2016-08-10 12:23:20",noraw,0
53999,environ1,408414966,128,126,NO2,1.997,"2016-08-10 12:24:31",noraw,0
54099,environ1,408414966,128,128,NO2,1.994,"2016-08-10 12:26:54",noraw,0
54126,environ1,408414966,128,128,NO2,1.994,"2016-08-10 12:26:54",noraw,0
54392,environ1,408414966,128,135,NO2,1.994,"2016-08-10 12:35:13",noraw,0
