id,id_wasp,id_secret,frame_type,frame_number,sensor,value,timestamp,raw,parser_type
74860,city2,408519285,128,54,GP_HUM,74.94,"2016-08-11 00:00:01",noraw,0
74874,city2,408519285,128,56,GP_HUM,74.78,"2016-08-11 00:00:29",noraw,0
74905,city2,408519285,128,60,GP_HUM,74.94,"2016-08-11 00:01:25",noraw,0
74919,city2,408519285,128,61,GP_HUM,74.31,"2016-08-11 00:01:39",noraw,0
74941,city2,408519285,128,64,GP_HUM,74.63,"2016-08-11 00:02:22",noraw,0
74955,city2,408519285,128,65,GP_HUM,74.47,"2016-08-11 00:02:36",noraw,0
74988,city2,408519285,128,68,GP_HUM,74.94,"2016-08-11 00:03:18",noraw,0
75002,city2,408519285,128,69,GP_HUM,74.78,"2016-08-11 00:03:32",noraw,0
75009,city2,408519285,128,68,GP_HUM,74.94,"2016-08-11 00:03:18",noraw,0
75056,city2,408519285,128,75,GP_HUM,74.94,"2016-08-11 00:04:57",noraw,0
75063,city2,408519285,128,76,GP_HUM,74.78,"2016-08-11 00:05:11",noraw,0
75077,city2,408519285,128,80,GP_HUM,74.94,"2016-08-11 00:06:07",noraw,0
75099,city2,408519285,128,83,GP_HUM,74.31,"2016-08-11 00:06:49",noraw,0
75113,city2,408519285,128,84,GP_HUM,74.63,"2016-08-11 00:07:03",noraw,0
75127,city2,408519285,128,86,GP_HUM,74.63,"2016-08-11 00:07:32",noraw,0
75148,city2,408519285,128,90,GP_HUM,74.78,"2016-08-11 00:08:28",noraw,0
75155,city2,408519285,128,91,GP_HUM,74.78,"2016-08-11 00:08:42",noraw,0
75176,city2,408519285,128,95,GP_HUM,74.78,"2016-08-11 00:09:38",noraw,0
75190,city2,408519285,128,98,GP_HUM,74.63,"2016-08-11 00:10:20",noraw,0
75219,city2,408519285,128,105,GP_HUM,75.26,"2016-08-11 00:12:00",noraw,0
75226,city2,408519285,128,106,GP_HUM,75.10,"2016-08-11 00:12:14",noraw,0
75264,city2,408519285,128,110,GP_HUM,75.10,"2016-08-11 00:13:11",noraw,0
75278,city2,408519285,128,113,GP_HUM,75.26,"2016-08-11 00:13:53",noraw,0
75313,city2,408519285,128,118,GP_HUM,75.41,"2016-08-11 00:15:04",noraw,0
75320,city2,408519285,128,121,GP_HUM,75.10,"2016-08-11 00:15:47",noraw,0
75348,city2,408519285,128,125,GP_HUM,74.94,"2016-08-11 00:16:44",noraw,0
75362,city2,408519285,128,128,GP_HUM,74.78,"2016-08-11 00:17:27",noraw,0
75376,city2,408519285,128,133,GP_HUM,74.63,"2016-08-11 00:18:37",noraw,0
75390,city2,408519285,128,136,GP_HUM,74.94,"2016-08-11 00:19:20",noraw,0
75411,city2,408519285,128,140,GP_HUM,74.47,"2016-08-11 00:20:17",noraw,0
75425,city2,408519285,128,141,GP_HUM,74.31,"2016-08-11 00:20:31",noraw,0
75446,city2,408519285,128,145,GP_HUM,74.78,"2016-08-11 00:21:28",noraw,0
75460,city2,408519285,128,148,GP_HUM,74.78,"2016-08-11 00:22:11",noraw,0
75502,city2,408519285,128,151,GP_HUM,74.63,"2016-08-11 00:22:53",noraw,0
75516,city2,408519285,128,155,GP_HUM,74.94,"2016-08-11 00:23:50",noraw,0
75523,city2,408519285,128,156,GP_HUM,74.78,"2016-08-11 00:24:04",noraw,0
75544,city2,408519285,128,160,GP_HUM,75.10,"2016-08-11 00:25:01",noraw,0
75558,city2,408519285,128,163,GP_HUM,74.63,"2016-08-11 00:25:43",noraw,0
75579,city2,408519285,128,168,GP_HUM,74.47,"2016-08-11 00:26:55",noraw,0
75586,city2,408519285,128,171,GP_HUM,74.94,"2016-08-11 00:27:37",noraw,0
75614,city2,408519285,128,175,GP_HUM,75.10,"2016-08-11 00:28:34",noraw,0
75635,city2,408519285,128,178,GP_HUM,75.10,"2016-08-11 00:29:17",noraw,0
75642,city2,408519285,128,183,GP_HUM,74.78,"2016-08-11 00:30:28",noraw,0
75656,city2,408519285,128,186,GP_HUM,74.47,"2016-08-11 00:31:10",noraw,0
75670,city2,408519285,128,187,GP_HUM,74.63,"2016-08-11 00:31:25",noraw,0
75677,city2,408519285,128,190,GP_HUM,74.78,"2016-08-11 00:32:07",noraw,0
75691,city2,408519285,128,191,GP_HUM,74.78,"2016-08-11 00:32:21",noraw,0
75719,city2,408519285,128,195,GP_HUM,74.47,"2016-08-11 00:33:18",noraw,0
75733,city2,408519285,128,198,GP_HUM,74.94,"2016-08-11 00:34:00",noraw,0
75761,city2,408519285,128,201,GP_HUM,74.31,"2016-08-11 00:34:43",noraw,0
75768,city2,408519285,128,202,GP_HUM,74.47,"2016-08-11 00:34:57",noraw,0
75782,city2,408519285,128,205,GP_HUM,74.78,"2016-08-11 00:35:40",noraw,0
75796,city2,408519285,128,206,GP_HUM,74.47,"2016-08-11 00:35:54",noraw,0
75824,city2,408519285,128,210,GP_HUM,74.94,"2016-08-11 00:36:51",noraw,0
75838,city2,408519285,128,213,GP_HUM,74.47,"2016-08-11 00:37:34",noraw,0
75859,city2,408519285,128,217,GP_HUM,74.63,"2016-08-11 00:38:31",noraw,0
75866,city2,408519285,128,218,GP_HUM,74.94,"2016-08-11 00:38:45",noraw,0
