id,id_wasp,id_secret,frame_type,frame_number,sensor,value,timestamp,raw,parser_type
74898,environ1,408414966,128,201,CO,1.600,"2016-08-11 00:01:04",noraw,0
74934,environ1,408414966,128,202,CO,1.500,"2016-08-11 00:02:16",noraw,0
74962,environ1,408414966,128,202,CO,1.500,"2016-08-11 00:02:16",noraw,0
75035,environ1,408414966,128,204,CO,1.539,"2016-08-11 00:04:38",noraw,0
75049,environ1,408414966,128,204,CO,1.539,"2016-08-11 00:04:38",noraw,0
75250,environ1,408414966,128,211,CO,1.571,"2016-08-11 00:12:56",noraw,0
75292,environ1,408414966,128,212,CO,1.526,"2016-08-11 00:14:07",noraw,0
75474,environ1,408414966,128,219,CO,1.590,"2016-08-11 00:22:25",noraw,0
75495,environ1,408414966,128,219,CO,1.590,"2016-08-11 00:22:25",noraw,0
75649,environ1,408414966,128,226,CO,1.452,"2016-08-11 00:30:43",noraw,0
75747,environ1,408414966,128,229,CO,1.410,"2016-08-11 00:34:17",noraw,0
75957,environ1,408414966,128,236,CO,1.532,"2016-08-11 00:42:35",noraw,0
76069,environ1,408414966,128,239,CO,1.584,"2016-08-11 00:46:08",noraw,0
76300,environ1,408414966,128,245,CO,1.526,"2016-08-11 00:53:15",noraw,0
76335,environ1,408414966,128,246,CO,1.558,"2016-08-11 00:54:26",noraw,0
76426,environ1,408414966,128,249,CO,1.542,"2016-08-11 00:58:00",noraw,0
76531,environ1,408414966,128,252,CO,1.497,"2016-08-11 01:01:33",noraw,0
76573,environ1,408414966,128,253,CO,1.465,"2016-08-11 01:02:45",noraw,0
76664,environ1,408414966,128,0,CO,1.435,"2016-08-11 01:06:18",noraw,0
76783,environ1,408414966,128,4,CO,1.474,"2016-08-11 01:11:02",noraw,0
76895,environ1,408414966,128,7,CO,1.494,"2016-08-11 01:14:36",noraw,0
77105,environ1,408414966,128,14,CO,1.516,"2016-08-11 01:22:54",noraw,0
77217,environ1,408414966,128,17,CO,1.577,"2016-08-11 01:26:27",noraw,0
77469,environ1,408414966,128,24,CO,1.516,"2016-08-11 01:34:46",noraw,0
77504,environ1,408414966,128,25,CO,1.500,"2016-08-11 01:35:56",noraw,0
