id,id_wasp,id_secret,frame_type,frame_number,sensor,value,timestamp,raw,parser_type
74899,environ1,408414966,128,201,CO2,0.923,"2016-08-11 00:01:04",noraw,0
74935,environ1,408414966,128,202,CO2,0.987,"2016-08-11 00:02:16",noraw,0
74963,environ1,408414966,128,202,CO2,0.987,"2016-08-11 00:02:16",noraw,0
75036,environ1,408414966,128,204,CO2,0.997,"2016-08-11 00:04:38",noraw,0
75050,environ1,408414966,128,204,CO2,0.997,"2016-08-11 00:04:38",noraw,0
75251,environ1,408414966,128,211,CO2,0.974,"2016-08-11 00:12:56",noraw,0
75293,environ1,408414966,128,212,CO2,0.977,"2016-08-11 00:14:07",noraw,0
75475,environ1,408414966,128,219,CO2,0.923,"2016-08-11 00:22:25",noraw,0
75496,environ1,408414966,128,219,CO2,0.923,"2016-08-11 00:22:25",noraw,0
75650,environ1,408414966,128,226,CO2,1.016,"2016-08-11 00:30:43",noraw,0
75748,environ1,408414966,128,229,CO2,0.968,"2016-08-11 00:34:17",noraw,0
75958,environ1,408414966,128,236,CO2,0.939,"2016-08-11 00:42:35",noraw,0
76070,environ1,408414966,128,239,CO2,0.961,"2016-08-11 00:46:08",noraw,0
76301,environ1,408414966,128,245,CO2,1.006,"2016-08-11 00:53:15",noraw,0
76336,environ1,408414966,128,246,CO2,0.968,"2016-08-11 00:54:26",noraw,0
76427,environ1,408414966,128,249,CO2,1.042,"2016-08-11 00:58:00",noraw,0
76532,environ1,408414966,128,252,CO2,0.916,"2016-08-11 01:01:33",noraw,0
76574,environ1,408414966,128,253,CO2,0.990,"2016-08-11 01:02:45",noraw,0
76665,environ1,408414966,128,0,CO2,1.119,"2016-08-11 01:06:18",noraw,0
76784,environ1,408414966,128,4,CO2,1.116,"2016-08-11 01:11:02",noraw,0
76896,environ1,408414966,128,7,CO2,1.006,"2016-08-11 01:14:36",noraw,0
77106,environ1,408414966,128,14,CO2,0.913,"2016-08-11 01:22:54",noraw,0
77218,environ1,408414966,128,17,CO2,0.939,"2016-08-11 01:26:27",noraw,0
77470,environ1,408414966,128,24,CO2,1.048,"2016-08-11 01:34:46",noraw,0
77505,environ1,408414966,128,25,CO2,1.097,"2016-08-11 01:35:56",noraw,0
77596,environ1,408414966,128,27,CO2,0.916,"2016-08-11 01:38:19",noraw,0
77624,environ1,408414966,128,28,CO2,0.965,"2016-08-11 01:39:30",noraw,0
77750,environ1,408414966,128,31,CO2,0.932,"2016-08-11 01:43:04",noraw,0
77841,environ1,408414966,128,33,CO2,0.923,"2016-08-11 01:45:26",noraw,0
77869,environ1,408414966,128,34,CO2,0.955,"2016-08-11 01:46:37",noraw,0
77904,environ1,408414966,128,35,CO2,0.968,"2016-08-11 01:47:48",noraw,0
77960,environ1,408414966,128,36,CO2,1.139,"2016-08-11 01:48:59",noraw,0
77995,environ1,408414966,128,37,CO2,0.929,"2016-08-11 01:50:11",noraw,0
78030,environ1,408414966,128,38,CO2,0.971,"2016-08-11 01:51:22",noraw,0
78121,environ1,408414966,128,40,CO2,0.919,"2016-08-11 01:53:44",noraw,0
78149,environ1,408414966,128,41,CO2,1.145,"2016-08-11 01:54:55",noraw,0
78233,environ1,408414966,128,43,CO2,0.939,"2016-08-11 01:57:17",noraw,0
78254,environ1,408414966,128,44,CO2,0.919,"2016-08-11 01:58:29",noraw,0
78296,environ1,408414966,128,45,CO2,0.939,"2016-08-11 01:59:40",noraw,0
78352,environ1,408414966,128,47,CO2,1.094,"2016-08-11 02:02:02",noraw,0
78401,environ1,408414966,128,48,CO2,0.926,"2016-08-11 02:03:13",noraw,0
78443,environ1,408414966,128,50,CO2,1.139,"2016-08-11 02:05:35",noraw,0
78471,environ1,408414966,128,51,CO2,1.058,"2016-08-11 02:06:47",noraw,0
78590,environ1,408414966,128,55,CO2,0.932,"2016-08-11 02:11:31",noraw,0
78814,environ1,408414966,128,62,CO2,0.929,"2016-08-11 02:19:49",noraw,0
78933,environ1,408414966,128,65,CO2,1.145,"2016-08-11 02:23:23",noraw,0
79164,environ1,408414966,128,72,CO2,1.006,"2016-08-11 02:31:41",noraw,0
79206,environ1,408414966,128,73,CO2,1.045,"2016-08-11 02:32:52",noraw,0
79290,environ1,408414966,128,75,CO2,0.961,"2016-08-11 02:35:14",noraw,0
79325,environ1,408414966,128,76,CO2,0.981,"2016-08-11 02:36:26",noraw,0
79479,environ1,408414966,128,80,CO2,1.100,"2016-08-11 02:41:10",noraw,0
79521,environ1,408414966,128,81,CO2,0.929,"2016-08-11 02:42:21",noraw,0
79549,environ1,408414966,128,82,CO2,0.935,"2016-08-11 02:43:32",noraw,0
79584,environ1,408414966,128,83,CO2,0.952,"2016-08-11 02:44:43",noraw,0
79633,environ1,408414966,128,84,CO2,0.981,"2016-08-11 02:45:54",noraw,0
79661,environ1,408414966,128,85,CO2,1.006,"2016-08-11 02:47:06",noraw,0
79696,environ1,408414966,128,86,CO2,1.090,"2016-08-11 02:48:17",noraw,0
79752,environ1,408414966,128,87,CO2,0.981,"2016-08-11 02:49:28",noraw,0
79756,environ1,408414966,128,87,CO2,0.981,"2016-08-11 02:49:28",noraw,0
79791,environ1,408414966,128,88,CO2,0.955,"2016-08-11 02:50:39",noraw,0
79826,environ1,408414966,128,89,CO2,0.968,"2016-08-11 02:51:50",noraw,0
79903,environ1,408414966,128,91,CO2,0.981,"2016-08-11 02:54:12",noraw,0
79924,environ1,408414966,128,92,CO2,1.142,"2016-08-11 02:55:24",noraw,0
80001,environ1,408414966,128,94,CO2,0.939,"2016-08-11 02:57:46",noraw,0
80029,environ1,408414966,128,95,CO2,0.955,"2016-08-11 02:58:57",noraw,0
80072,environ1,408414966,128,96,CO2,0.981,"2016-08-11 03:00:08",noraw,0
80107,environ1,408414966,128,97,CO2,0.939,"2016-08-11 03:01:20",noraw,0
80135,environ1,408414966,128,98,CO2,1.026,"2016-08-11 03:02:30",noraw,0
80177,environ1,408414966,128,99,CO2,0.981,"2016-08-11 03:03:42",noraw,0
80296,environ1,408414966,128,104,CO2,1.148,"2016-08-11 03:09:38",noraw,0
